date,value
2015-02-24,6.00678593556
2015-02-25,6.00722812436
2015-02-26,5.98827681616
2015-02-27,6.04743995352
2015-02-28,6.04640552489
2015-03-01,6.04751216352
2015-03-02,6.01060008913
2015-03-03,6.0076953774
2015-03-04,6.02536988503
2015-03-05,6.04712062257
2015-03-06,6.07639877164
2015-03-07,6.05650388819
2015-03-08,6.05828906136
2015-03-09,5.99529009549
2015-03-10,6.02700951351
2015-03-11,5.99771110987
2015-03-12,6.02189006088
2015-03-13,6.07111264955
2015-03-14,6.06231008605
2015-03-15,6.10316052232
2015-03-16,6.00726053286
2015-03-17,6.03482293831
2015-03-18,6.0219202984
2015-03-19,6.00668502618
2015-03-20,6.05443202271
2015-03-21,6.0662891753
2015-03-22,6.02894414505
2015-03-23,5.99974268224
2015-03-24,6.01231480815
2015-03-25,5.99167793057
2015-03-26,5.98038202731
2015-03-27,6.06239694556
2015-03-28,6.04517558333
2015-03-29,6.02033494367
2015-03-30,5.9988630616
2015-03-31,6.0137726899
2015-04-01,6.02079798353
2015-04-06,6.01451982547
2015-04-07,6.02757010436
2015-04-08,6.01231107318
2015-04-09,6.02050718825
2015-04-10,6.04013249886
2015-04-11,6.04893497064
2015-04-12,6.0344286733
2015-04-13,5.99294298719
2015-04-14,6.02758863401
2015-04-15,6.02117672105
2015-04-16,6.00670318715
2015-04-17,6.04735954206
2015-04-18,6.06257475801
2015-04-19,6.02163872985
2015-04-20,6.02059424699
2015-04-21,6.0434888326
2015-04-22,6.01972010409
2015-04-23,6.05411515478
2015-04-24,6.05872652616
2015-04-25,6.0568865007
2015-04-26,6.0421695646
2015-04-27,6.03528227764
2015-04-28,6.02843087526
2015-04-29,6.01420577827
2015-04-30,6.03287404211
2015-05-01,6.08166519803
2015-05-02,6.03893937279
2015-05-03,6.07044378109
2015-05-04,6.08215134828
2015-05-05,6.00642251731
2015-05-06,6.00735890221
2015-05-07,6.00144918033
2015-05-08,5.95594243224
2015-05-09,6.08542109346
2015-05-10,6.03296350787
2015-05-11,6.0080378565
2015-05-12,6.03903192866
2015-05-13,6.01291407126
2015-05-14,6.01820076298
2015-05-15,6.01213752834
2015-05-16,6.087682044
2015-05-17,6.00637474708
2015-05-18,5.96025048859
2015-05-19,6.01822866086
2015-05-20,6.06586417491
2015-05-21,6.04066962485
2015-05-22,6.06138474671
2015-05-23,6.02831022316
2015-05-24,6.04668171762
2015-05-25,6.08022063544
2015-05-26,6.04177903161
2015-05-27,5.97097456416
2015-05-28,6.04622071671
2015-05-29,6.08423018282
2015-05-30,6.11786776813
2015-05-31,6.05096379457
2015-06-01,5.99585029444
2015-06-02,6.06263581871
2015-06-03,6.08387158461
2015-06-04,6.06384912385
2015-06-05,6.04945195612
2015-06-06,6.10813821923
2015-06-07,6.14910823064
2015-06-08,5.9444939995
2015-06-09,5.97563696852
2015-06-10,5.9737895684
2015-06-11,5.99031147334
2015-06-12,6.06416714051
2015-06-13,6.14702413074
2015-06-14,6.1438676639
2015-06-15,6.01170583014
2015-06-16,6.03060149116
2015-06-17,5.95607016974
2015-06-18,6.05541989926
2015-06-19,6.02269251211
2015-06-20,6.06668753046
2015-06-21,6.09371693394
2015-06-22,5.98957954053
2015-06-23,6.05296441632
2015-06-24,6.04188115962
2015-06-25,6.03210426709
2015-06-26,6.04649690981
2015-06-27,6.15355001748
2015-06-28,6.09324904106
2015-06-29,6.06305579368
2015-06-30,5.98593538172
2015-07-01,6.02813018302
2015-07-02,6.09797165415
2015-07-03,6.01531919906
2015-07-04,6.1482281846
2015-07-05,6.09142948821
2015-07-06,6.0136099034
2015-07-07,5.96628614805
2015-07-08,6.02859760956
2015-07-09,6.03068220679
2015-07-10,5.99855352655
2015-07-11,6.10960377029
2015-07-12,6.11095656418
2015-07-13,5.95811327072
2015-07-14,6.04720305966
2015-07-15,6.01999091634
2015-07-16,6.01689628999
2015-07-17,6.05200819537
2015-07-18,6.08530619538
2015-07-19,6.09210313279
2015-07-20,6.03507388868
2015-07-21,6.04293073553
2015-07-22,6.06689837732
2015-07-23,6.00096514094
2015-07-25,6.04332711612
2015-07-26,5.9917906108
2015-07-27,6.0178296146
2015-07-28,6.04160611892
2015-08-14,6.04891126225
2015-08-15,6.12860409422
2015-08-16,6.11448787563
2015-08-17,6.03227636436
2015-08-18,6.01185447864
2015-08-19,6.04751719722
2015-08-20,6.0806187226
2015-08-21,6.06215943081
2015-08-22,6.08915190979
2015-08-23,6.10201798667
2015-08-24,6.05032204634
2015-08-25,6.03357985617
2015-08-26,6.03121863345
2015-08-27,6.10993990146
2015-08-28,6.13445543905
2015-08-29,6.18420189973
2015-08-30,6.11786517053
2015-08-31,6.06888382651
2015-09-01,5.99012316597
2015-09-02,5.98533425589
2015-09-03,6.03483602001
2015-09-04,6.10956744894
2015-09-05,6.159802662
2015-09-06,6.18350535507
2015-09-07,6.10500531013
2015-09-08,5.98028962946
2015-09-09,6.05413494269
2015-09-10,6.05611464737
2015-09-11,6.09050698029
2015-09-12,6.15277288232
2015-09-13,6.15984911465
2015-09-14,6.08266277292
2015-09-15,5.9934202559
2015-09-16,6.02476785354
2015-09-17,6.11842635776
2015-10-15,6.13158155532
2015-10-16,6.09189668924
2015-10-17,6.10000875155
2015-10-18,6.14582234957
2015-10-19,6.08639838691
2015-10-20,6.02983344413
2015-10-21,5.96102298971
2015-10-22,6.10179225541
2015-10-23,6.05221293694
2015-10-24,6.13803775533
2015-10-25,6.14421429884
2015-10-26,6.00555281964
2015-10-27,5.96759759048
2015-10-28,5.9480431159
2015-10-29,6.01048247392
2015-10-30,6.08030829916
2015-10-31,6.16776710223
2015-11-01,6.16335413972
2015-11-02,5.95501520003
2015-11-03,5.99897808645
2015-11-04,6.04487314068
2015-11-05,6.02733239447
2015-11-06,6.06477393548
2015-11-07,6.09447258721
2015-11-08,6.05137272796
2015-11-09,5.98691081541
2015-11-10,6.04578172659
2015-11-11,6.04699860641
2015-11-12,6.03685276815
2015-11-13,6.12029565514
2015-11-14,5.97901946161
2015-11-15,6.06196451855
2015-11-16,6.04787630968
2015-11-17,6.01548999719
2015-11-18,6.04769198159
2015-11-19,6.0467741419
2015-11-20,6.07645530737
2015-11-21,6.1430160299
2015-11-22,6.22451081064
2015-11-23,6.11585333478
2015-11-24,6.12275922717
2015-11-25,6.16195219462
2015-11-26,6.09719666381
2015-11-27,6.08075692343
2015-12-01,5.99389465454
2015-12-02,6.00429989593
2015-12-03,6.03480659865
2015-12-04,6.08351552535
2015-12-05,6.06062712065
2015-12-06,6.15149902199
2015-12-07,6.01944021102
2015-12-08,6.08819048698
2015-12-09,6.00994545298
2015-12-10,6.05309448527
2015-12-11,6.1238722991
2015-12-12,6.06755494403
2015-12-13,6.11204208055
2015-12-14,6.06381929047
2015-12-15,6.01338296112
2015-12-16,6.03268309937
2015-12-17,6.0828540315
2015-12-18,6.04986605871
2015-12-19,6.05656674966
2015-12-20,6.21296813374
2015-12-21,6.1270170108
2015-12-22,6.10223616722
2015-12-23,6.12768604804
2015-12-24,6.21612935645
2015-12-25,6.2563641646
2015-12-26,5.89820541906
2015-12-27,6.04556780203
2015-12-28,5.96905499186
2015-12-29,5.99793790385
2015-12-30,5.97838343402
2015-12-31,6.2263423871
2016-01-01,6.11328971602
2016-01-02,6.03794367496
2016-01-03,5.97609246731
2016-01-06,5.95799462914
